"predicted=27.832657, expected=34.000000"
"predicted=31.579967, expected=31.000000"
"predicted=29.788109, expected=20.000000"
"predicted=20.950109, expected=12.000000"
"predicted=14.964099, expected=19.000000"
"predicted=20.863848, expected=27.000000"
"predicted=27.945827, expected=16.000000"
"predicted=18.078082, expected=12.000000"
"predicted=13.033085, expected=13.000000"
"predicted=13.112414, expected=19.000000"
"predicted=19.230926, expected=11.000000"
"predicted=13.221510, expected=11.000000"
"predicted=11.656347, expected=8.000000"
"predicted=8.721926, expected=6.000000"
"predicted=7.345624, expected=10.000000"
"predicted=11.123205, expected=5.000000"
"predicted=5.997755, expected=10.000000"
"predicted=10.003632, expected=19.000000"
"predicted=17.097160, expected=27.000000"
"predicted=23.695752, expected=30.000000"
"predicted=26.583335, expected=32.000000"
"predicted=27.846227, expected=26.000000"
"predicted=23.822183, expected=52.000000"
"predicted=46.804590, expected=29.000000"
"predicted=29.006727, expected=16.000000"
"predicted=18.414509, expected=22.000000"
"predicted=23.408207, expected=19.000000"
"predicted=21.067073, expected=32.000000"
"predicted=34.225799, expected=35.000000"
"predicted=33.534294, expected=20.000000"
"predicted=19.701284, expected=17.000000"
"predicted=17.743475, expected=20.000000"
"predicted=20.317192, expected=18.000000"
"predicted=20.358807, expected=8.000000"
"predicted=11.855112, expected=6.000000"
"predicted=8.165040, expected=6.000000"
"predicted=7.880155, expected=4.000000"
"predicted=6.492886, expected=13.000000"
"predicted=13.349883, expected=10.000000"
"predicted=9.622556, expected=19.000000"
"predicted=16.831991, expected=35.000000"
"predicted=30.149662, expected=29.000000"
"predicted=25.360852, expected=34.000000"
"predicted=30.495566, expected=20.000000"
"predicted=18.875178, expected=32.000000"
"predicted=30.411352, expected=24.000000"
"predicted=25.625191, expected=21.000000"
"predicted=22.475258, expected=14.000000"
"predicted=16.769460, expected=18.000000"
"predicted=18.726753, expected=32.000000"
"predicted=31.575171, expected=35.000000"
"predicted=33.080763, expected=27.000000"
"predicted=25.839568, expected=20.000000"
"predicted=19.276037, expected=26.000000"
"predicted=25.215209, expected=14.000000"
"predicted=17.095986, expected=17.000000"
"predicted=19.549209, expected=15.000000"
"predicted=16.697292, expected=16.000000"
"predicted=16.837209, expected=17.000000"
"predicted=17.988266, expected=17.000000"
"predicted=16.628359, expected=27.000000"
"predicted=25.234872, expected=39.000000"
"predicted=35.087882, expected=23.000000"
"predicted=22.045184, expected=50.000000"
"predicted=44.468757, expected=34.000000"
"predicted=31.848793, expected=28.000000"
"predicted=28.321290, expected=33.000000"
"predicted=33.350063, expected=29.000000"
"predicted=29.087495, expected=13.000000"
"predicted=18.493697, expected=3.000000"
"predicted=7.848202, expected=11.000000"
"predicted=13.831605, expected=15.000000"
"predicted=17.668884, expected=18.000000"
"predicted=19.114813, expected=20.000000"
"predicted=18.496433, expected=9.000000"
"predicted=8.451416, expected=11.000000"
"predicted=11.138337, expected=9.000000"
"predicted=10.098777, expected=10.000000"
"predicted=11.330685, expected=9.000000"
"predicted=10.360891, expected=5.000000"
"predicted=5.751508, expected=7.000000"
"predicted=7.547581, expected=22.000000"
"predicted=19.807813, expected=31.000000"
"predicted=27.503574, expected=32.000000"
"predicted=28.155083, expected=27.000000"
"predicted=23.620166, expected=11.000000"
"predicted=11.085187, expected=9.000000"
"predicted=11.448058, expected=16.000000"
"predicted=18.381606, expected=13.000000"
"predicted=15.864021, expected=21.000000"
"predicted=21.281014, expected=17.000000"
"predicted=16.008261, expected=15.000000"
"predicted=14.316038, expected=12.000000"
"predicted=12.567392, expected=14.000000"
"predicted=14.120523, expected=7.000000"
"predicted=9.157651, expected=9.000000"
"predicted=10.184682, expected=9.000000"
"predicted=9.853594, expected=6.000000"
"predicted=7.055461, expected=20.000000"
"predicted=18.644554, expected=22.000000"
"predicted=19.651366, expected=21.000000"
"predicted=19.077905, expected=22.000000"
"predicted=19.808694, expected=14.000000"
"predicted=13.323419, expected=17.000000"
"predicted=17.529002, expected=22.000000"
"predicted=21.919545, expected=32.000000"
"predicted=30.174190, expected=42.000000"
"predicted=38.403975, expected=49.000000"
"predicted=43.449705, expected=21.000000"
"predicted=20.804364, expected=34.000000"
"predicted=32.335347, expected=26.000000"
"predicted=27.444249, expected=20.000000"
"predicted=23.832081, expected=20.000000"
"predicted=23.618235, expected=10.000000"
"predicted=12.353025, expected=8.000000"
"predicted=11.877506, expected=12.000000"
"predicted=13.977632, expected=12.000000"
"predicted=13.277319, expected=19.000000"
"predicted=18.711664, expected=11.000000"
"predicted=10.846251, expected=15.000000"
"predicted=13.987661, expected=19.000000"
"predicted=17.844578, expected=21.000000"
"predicted=19.801799, expected=14.000000"
"predicted=14.569303, expected=19.000000"
"predicted=17.821754, expected=18.000000"
"predicted=17.685260, expected=15.000000"
"predicted=15.742212, expected=15.000000"
"predicted=15.699380, expected=25.000000"
"predicted=23.327805, expected=17.000000"
"predicted=17.363418, expected=12.000000"
"predicted=12.897288, expected=9.000000"
"predicted=9.999842, expected=16.000000"
"predicted=16.142477, expected=32.000000"
"predicted=30.416454, expected=8.000000"
"predicted=9.491780, expected=10.000000"
"predicted=10.193068, expected=13.000000"
"predicted=12.613618, expected=14.000000"
"predicted=14.900878, expected=18.000000"
"predicted=19.281744, expected=15.000000"
"predicted=13.987223, expected=17.000000"
"predicted=15.974281, expected=23.000000"
"predicted=21.377534, expected=27.000000"
"predicted=25.026285, expected=27.000000"
"predicted=25.442612, expected=20.000000"
"predicted=19.353751, expected=19.000000"
"predicted=18.929306, expected=17.000000"
"predicted=18.140600, expected=19.000000"
"predicted=20.258330, expected=21.000000"
"predicted=21.670712, expected=35.000000"
"predicted=32.412567, expected=35.000000"
"predicted=32.357759, expected=24.000000"
"predicted=23.066209, expected=17.000000"
"predicted=17.485666, expected=17.000000"
"predicted=18.191121, expected=11.000000"
"predicted=14.904497, expected=17.000000"
"predicted=19.402268, expected=19.000000"
"predicted=19.513659, expected=30.000000"
"predicted=27.798559, expected=40.000000"
"predicted=35.987073, expected=17.000000"
"predicted=16.494060, expected=25.000000"
"predicted=23.723826, expected=19.000000"
"predicted=19.497572, expected=26.000000"
"predicted=26.942939, expected=26.000000"
"predicted=27.366146, expected=27.000000"
"predicted=25.689356, expected=17.000000"
"predicted=18.164144, expected=25.000000"
"predicted=24.223290, expected=22.000000"
"predicted=22.682510, expected=23.000000"
"predicted=23.499722, expected=9.000000"
"predicted=11.665785, expected=17.000000"
"predicted=17.217280, expected=17.000000"
"predicted=18.183083, expected=30.000000"
"predicted=28.591421, expected=35.000000"
"predicted=32.494111, expected=34.000000"
"predicted=30.293238, expected=32.000000"
"predicted=29.622191, expected=20.000000"
"predicted=20.150893, expected=18.000000"
"predicted=20.140653, expected=12.000000"
"predicted=15.730357, expected=5.000000"
"predicted=9.642840, expected=14.000000"
"predicted=16.337672, expected=20.000000"
"predicted=19.867008, expected=23.000000"
"predicted=21.928140, expected=25.000000"
"predicted=22.627288, expected=24.000000"
"predicted=21.305840, expected=17.000000"
"predicted=16.820163, expected=13.000000"
"predicted=14.279425, expected=2.000000"
"predicted=5.564255, expected=10.000000"
"predicted=12.282217, expected=15.000000"
"predicted=16.140650, expected=15.000000"
"predicted=15.159912, expected=14.000000"
"predicted=13.431163, expected=18.000000"
"predicted=15.694457, expected=21.000000"
"predicted=19.396061, expected=28.000000"
"predicted=25.839873, expected=40.000000"
"predicted=35.834670, expected=31.000000"
"predicted=28.520093, expected=38.000000"
"predicted=34.824267, expected=28.000000"
"predicted=27.269332, expected=28.000000"
"predicted=28.441338, expected=24.000000"
"predicted=26.284043, expected=20.000000"
"predicted=22.067419, expected=18.000000"
"predicted=20.851443, expected=31.000000"
"predicted=30.384959, expected=45.000000"
"predicted=41.992507, expected=37.000000"
"predicted=34.843213, expected=28.000000"
"predicted=26.720485, expected=20.000000"
"predicted=20.264324, expected=15.000000"
"predicted=18.154207, expected=13.000000"
"predicted=17.859899, expected=24.000000"
"predicted=25.644365, expected=35.000000"
"predicted=33.480081, expected=28.000000"
"predicted=26.590758, expected=20.000000"
"predicted=19.184627, expected=12.000000"
"predicted=12.659879, expected=16.000000"
"predicted=17.670205, expected=8.000000"
"predicted=12.166623, expected=12.000000"
"predicted=14.218938, expected=17.000000"
"predicted=17.147563, expected=22.000000"
"predicted=20.490910, expected=10.000000"
"predicted=10.779912, expected=24.000000"
"predicted=21.423743, expected=19.000000"
"predicted=18.141549, expected=7.000000"
"predicted=8.891265, expected=3.000000"
"predicted=5.655280, expected=12.000000"
"predicted=12.117977, expected=17.000000"
"predicted=17.893928, expected=19.000000"
"predicted=18.522508, expected=32.000000"
"predicted=27.704634, expected=27.000000"
"predicted=23.528761, expected=30.000000"
"predicted=27.244572, expected=39.000000"
"predicted=35.466358, expected=26.000000"
"predicted=25.487912, expected=18.000000"
"predicted=20.135027, expected=20.000000"
"predicted=21.231148, expected=18.000000"
"predicted=20.285734, expected=16.000000"
"predicted=19.235151, expected=18.000000"
"predicted=18.975141, expected=25.000000"
"predicted=23.882495, expected=41.000000"
"predicted=37.400825, expected=16.000000"
"predicted=16.501166, expected=22.000000"
"predicted=21.027277, expected=18.000000"
"predicted=18.336100, expected=23.000000"
"predicted=23.837182, expected=51.000000"
"predicted=48.173219, expected=43.000000"
"predicted=38.976066, expected=16.000000"
"predicted=17.065787, expected=13.000000"
"predicted=14.040608, expected=34.000000"
"predicted=33.118046, expected=48.000000"
"predicted=48.011799, expected=29.000000"
"predicted=30.325601, expected=26.000000"
"predicted=24.342326, expected=11.000000"
"predicted=12.351621, expected=26.000000"
"predicted=27.710555, expected=15.000000"
"predicted=19.702101, expected=24.000000"
"predicted=24.548127, expected=24.000000"
"predicted=23.778488, expected=14.000000"
"predicted=14.172955, expected=10.000000"
"predicted=12.217948, expected=15.000000"
"predicted=15.335689, expected=17.000000"
"predicted=18.097829, expected=19.000000"
"predicted=19.371557, expected=29.000000"
"predicted=26.321397, expected=24.000000"
"predicted=21.971738, expected=13.000000"
"predicted=13.498219, expected=25.000000"
"predicted=23.709931, expected=27.000000"
"predicted=26.080082, expected=21.000000"
"predicted=22.110575, expected=19.000000"
"predicted=19.424148, expected=4.000000"
"predicted=6.099674, expected=12.000000"
"predicted=14.118985, expected=16.000000"
"predicted=17.519107, expected=17.000000"
"predicted=17.510097, expected=7.000000"
"predicted=8.446682, expected=10.000000"
"predicted=9.338510, expected=8.000000"
"predicted=8.846616, expected=16.000000"
"predicted=15.936219, expected=19.000000"
"predicted=18.246284, expected=15.000000"
"predicted=13.838407, expected=15.000000"
"predicted=14.125133, expected=11.000000"
"predicted=10.889600, expected=10.000000"
"predicted=11.099507, expected=11.000000"
"predicted=12.135523, expected=12.000000"
"predicted=12.468964, expected=13.000000"
"predicted=13.147990, expected=7.000000"
"predicted=7.664763, expected=7.000000"
"predicted=7.533196, expected=13.000000"
"predicted=12.672144, expected=7.000000"
